Geneid	PI127826_F1	Elite_02	PI127826	F2-127	F2-151	F2-28	F2-411	F2-445	F2-73
mRNA:Solyc00g028960.1.1	0	10	0	0	4	4	0	0	0
mRNA:Solyc00g500247.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500248.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500249.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500250.1.1	2	15	8	10	3	1	21	39	1
mRNA:Solyc00g500251.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500252.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500253.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g021650.1.1	0	4	22	27	25	2	49	129	19
mRNA:Solyc00g021640.2.1	17	36	47	121	97	45	428	822	100
mRNA:Solyc00g021630.1.1	45	71	132	10	3	6	30	67	21
mRNA:Solyc00g500254.1.1	8	0	34	37	17	2	46	175	21
mRNA:Solyc00g181240.1.1	0	0	16	0	4	2	12	7	5
mRNA:Solyc00g181250.2.1	0	0	0	45	30	2	32	84	21
mRNA:Solyc00g500255.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500256.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500257.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500258.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500259.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500260.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500261.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500262.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500263.1.1	0	0	0	0	0	0	1	0	0
mRNA:Solyc00g500264.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500265.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500266.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500267.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500268.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500269.1.1	0	1	0	0	0	0	0	0	0
mRNA:Solyc00g500270.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500271.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500272.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500273.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500274.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500275.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500276.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500277.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g052430.2.1	0	1	0	2	0	0	4	8	0
mRNA:Solyc00g500278.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500279.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500280.1.1	0	0	0	0	1	0	0	0	0
mRNA:Solyc00g500281.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500282.1.1	0	0	0	0	0	0	0	0	0
mRNA:Solyc00g500283.1.1	0	0	0	0	0	0	0	0	0
